id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
34fbd7b6e302346d543dd9c1e4a05b65,37996,F,Mark Fields,Executive Vice President and President — The Americas,2009,1300000,0,0,609579,760000,1217680,3981253,
b0087d3f67a88e0fcc42e37ea6962239,37996,F,L. W. K. Booth,Executive Vice President and Chief Financial Officer,2008,1075000,0,0,1386994,999999,1700527,5454400,
a0d16e02fbf11b66bf0a58dd2dce9a12,37996,F,Lewis W. K. Booth,Executive Vice President and Chief Financial Officer,2008,1075000,0,0,437030,999999,1700527,4504436,
3790acd0ced0ce5ae9c48f74de1e49ba,37996,F,David G. Leitch,Group Vice President and General Counsel,2008,850000,0,150000,437886,1087132,0,2620783,
439b4cb9b207fc44d28c056d5ef6c4e3,37996,F,Alan Mulally,President and Chief Executive Officer,2008,2000000,0,0,1849241,8669747,0,13565378,
fd58a2ae228ac7e6351a1bb03c5e3089,37996,F,Donat R. Leclair,Retired Executive Vice President and Chief Financial Officer,2008,875000,0,0,330605,999999,917662,3197225,
602ac1053c74d1af1245fe617c754c3b,37996,F,Mark Fields,Executive Vice President and President — The Americas,2008,1300000,0,0,707764,2123597,536070,4829298,
3bb61dedca4783ae321c790dd7b4a121,37996,F,James D. Farley,Group Vice President Marketing and Communications,2008,700000,0,660000,301517,506324,0,2648398,
2cb23d777d9786f4ba93a81104813033,37996,F,Lewis W. K. Booth,Executive Vice President — Ford of Europe and Premier Automotive Group,2007,868133,0,526923,3314995,1845517,0,10264463,
9df5ddc5b8de8ebd925cdd5d8aaf0e9b,37996,F,Donat R. Leclair,Executive Vice President and Chief Financial Officer,2007,1005633,0,861538,4214496,1221332,0,11703127,
6f97cb16aeb8ad70b6c561b69770039a,37996,F,Mark Fields,Executive Vice President and President — The Americas,2007,1255634,0,711538,2493770,457458,0,8389898,
df4d8218be6bdca5bf4f91daa4c51907,37996,F,L. W. K. Booth,Executive Vice President and Chief Financial Officer,2007,868133,0,526923,1465473,3314995,1845517,10073494,
fe0a16b3e7fdfa95dacd6107bfb892b6,37996,F,Alan Mulally,President and Chief Executive Officer,2007,2000000,0,4006154,7511634,0,0,21670674,
c715a91a6bf0efe0fb02fcc0d8d74c17,37996,F,Michael E. Bannister,"Executive Vice President, CEO — Ford Motor Credit Company",2007,708700,0,439231,2898497,1514273,0,8677747,
0ae79ca4b2736cb496075420d178338e,37996,F,Alan Mulally,President and Chief Executive Officer,2006,666667,0,18500000,7761972,0,0,28183476,
bd99054ecfd8ac4895cb1a2dd0b382b6,37996,F,Mark Fields,Executive Vice President and President — The Americas,2006,1250933,0,0,268401,437318,0,5574850,
dfc24c16092bdabd509302ccca0cee3e,37996,F,Lewis W. K. Booth,Executive Vice President — Ford of Europe and Premier Automotive Group,2006,850933,0,0,186989,610023,0,4274509,
7e2ebc76d4ba80c46f6975d33e7a0760,37996,F,Michael E. Bannister,"Executive Vice President, CEO — Ford Motor Credit Company",2006,605933,0,500000,302382,906166,0,2747100,
48a5b3f1e0df43e37acc3bbf4f3ea99f,37996,F,Donat R. Leclair,Executive Vice President and Chief Financial Officer,2006,1000933,0,0,435552,900116,0,4401100,
