Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"19,199,156.22",0.19,"19,199,156.22","94,266.00",203.67,United States,NASDAQ,USD,1.00
CCI,CROWN CASTLE INC,Real Estate,Equity,"19,039,250.16",0.18,"19,039,250.16","113,491.00",167.76,United States,New York Stock Exchange Inc.,USD,1.00
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"18,945,187.44",0.18,"18,945,187.44","67,411.00",281.04,United States,NASDAQ,USD,1.00
SYK,STRYKER CORP,Health Care,Equity,"18,908,520.48",0.18,"18,908,520.48","92,798.00",203.76,United States,New York Stock Exchange Inc.,USD,1.00
BDX,BECTON DICKINSON,Health Care,Equity,"18,906,111.00",0.18,"18,906,111.00","74,775.00",252.84,United States,New York Stock Exchange Inc.,USD,1.00
PGR,PROGRESSIVE CORP,Financials,Equity,"18,782,467.99",0.18,"18,782,467.99","153,439.00",122.41,United States,New York Stock Exchange Inc.,USD,1.00
EOG,EOG RESOURCES INC,Energy,Equity,"18,745,675.20",0.18,"18,745,675.20","154,260.00",121.52,United States,New York Stock Exchange Inc.,USD,1.00
CME,CME GROUP INC CLASS A,Financials,Equity,"18,411,833.30",0.18,"18,411,833.30","94,570.00",194.69,United States,NASDAQ,USD,1.00
WM,WASTE MANAGEMENT INC,Industrials,Equity,"18,351,953.70",0.18,"18,351,953.70","108,946.00",168.45,United States,New York Stock Exchange Inc.,USD,1.00
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"18,333,958.00",0.18,"18,333,958.00","38,440.00",476.95,United States,New York Stock Exchange Inc.,USD,1.00
MMM,3M,Industrials,Equity,"18,186,796.65",0.18,"18,186,796.65","149,501.00",121.65,United States,New York Stock Exchange Inc.,USD,1.00
CSX,CSX CORP,Industrials,Equity,"17,879,495.48",0.17,"17,879,495.48","572,327.00",31.24,United States,NASDAQ,USD,1.00
D,DOMINION ENERGY INC,Utilities,Equity,"17,432,572.22",0.17,"17,432,572.22","213,034.00",81.83,United States,New York Stock Exchange Inc.,USD,1.00
BX,BLACKSTONE INC,Financials,Equity,"17,306,600.12",0.17,"17,306,600.12","184,466.00",93.82,United States,New York Stock Exchange Inc.,USD,1.00
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"17,099,207.75",0.17,"17,099,207.75","108,739.00",157.25,United States,New York Stock Exchange Inc.,USD,1.00
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"16,998,613.69",0.16,"16,998,613.69","217,457.00",78.17,United States,New York Stock Exchange Inc.,USD,1.00
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"16,960,000.00",0.16,"16,960,000.00","16,960,000.00",1.00,United States,--,USD,1.00
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"16,573,018.29",0.16,"16,573,018.29","294,213.00",56.33,United States,NASDAQ,USD,1.00
TFC,TRUIST FINANCIAL CORP,Financials,Equity,"16,245,047.19",0.16,"16,245,047.19","349,431.00",46.49,United States,New York Stock Exchange Inc.,USD,1.00
HUM,HUMANA INC,Health Care,Equity,"16,178,960.00",0.16,"16,178,960.00","33,400.00",484.40,United States,New York Stock Exchange Inc.,USD,1.00
USB,US BANCORP,Financials,Equity,"16,139,685.95",0.16,"16,139,685.95","354,329.00",45.55,United States,New York Stock Exchange Inc.,USD,1.00
FISV,FISERV INC,Information Technology,Equity,"15,913,095.68",0.15,"15,913,095.68","156,872.00",101.44,United States,NASDAQ,USD,1.00
ITW,ILLINOIS TOOL INC,Industrials,Equity,"15,896,180.80",0.15,"15,896,180.80","81,352.00",195.40,United States,New York Stock Exchange Inc.,USD,1.00
